1::Classical Mythology::Mark P. O. Morford, Wisconsin
2::Clara Callan::Richard Bruce Wrightarlo D'Este, Pennsylvania
3::The Mummies of Urumchi::E. J. W. Barber, Florida
4::The Kitchen God's Wife::Amy Tan, Nebraska
5::What If?: The World's Foremost Military Historians Imagine What Might Have Been::Amy Tan, California
6::PLEADING GUILTY::Scott Turow, Ohio
7::Under the Black Flag: The Romance and the Reality of Life Among the Pirates::David Cordingly, New York
8::Where You'll Find Me: And Other Stories::Ann Beattie, Texas
9::Nights Below Station Street::David Adams Richards, Michigan
10::The Middle Stories::Sheila Heti, New York
11::Jane Doe::R. J. Kaiser, Illinois
12::A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)::Jack Canfield, Georgia
13::Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust::Amy Tan, Connecticut
14::The Witchfinder (Amos Walker Mystery Series)::Loren D. Estleman, Connecticut
15::More Cunning Than Man: A Social History of Rats and Man::Robert Hendrickson, Texas
16::Goodbye to the Buttermilk Sky::Julia Oliver, Michigan
17::The Testament::John Grisham, Minnesota
18::Beloved (Plume Contemporary Fiction)::Toni Morrison, Florida
19::Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source::The Onion, Minnesota
20::New Vegetarian: Bold and Beautiful Recipes for Every Occasion::Celia Brooks Brown, Virginia
21::Tell Me This Isn't Happening::Robynn Clairday, Oklahoma
22::Flood - Mississippi 1927::Kathleen Duey, California
23::Wild Animus::Rich Shapero, Virginia
24::Airframe::Michael Crichton, California
25::Timeline::MICHAEL CRICHTON, Colorado
